,rra_id,rra_playerId,rra_dateAt,rra_partnerId,rra_brandId,rra_campaignId,rra_playerCountry,rra_registrationsCount,rra_depositsCount,firstDepositsSumEur,depositsSumEur,c_registrationDateAt,c_gender,c_age
187909,299397785489019668,5381248,2020-09-08 03:00:00,87336,102,97531,LU,0,1,0.0,25.0,2020-09-05 10:56:52,m,23.0
187910,299407785473242496,5381248,2020-09-09 03:00:00,87336,102,97531,LU,0,0,0.0,0.0,2020-09-05 10:56:52,m,23.0
187917,249467784849705809,5385816,2020-09-13 03:00:00,87758,99,97958,CA,0,2,0.0,384.39,2020-09-05 21:13:52,m,35.0
187918,299367785509862995,5385816,2020-09-05 03:00:00,87758,99,97958,CA,1,4,226.29,937.5,2020-09-05 21:13:52,m,35.0
187919,299367785509863012,5385861,2020-09-05 03:00:00,87758,99,97958,NO,1,2,52.13,99.52,2020-09-05 21:30:00,m,34.0
187920,299367785510935125,5381671,2020-09-05 03:00:00,87758,102,97959,CA,1,1,96.98,96.98,2020-09-05 11:58:34,f,30.0
187921,299397785501960682,5381671,2020-09-08 03:00:00,87758,102,97959,CA,0,0,0.0,0.0,2020-09-05 11:58:34,f,30.0
187922,177998313341006660,5381249,2020-09-20 03:00:00,87758,102,97959,DE,0,0,0.0,0.0,2020-09-05 10:57:13,m,38.0
187923,299367785510935134,5381249,2020-09-05 03:00:00,87758,102,97959,DE,1,1,50.0,50.0,2020-09-05 10:57:13,m,38.0
187924,299367785510935142,5381237,2020-09-05 03:00:00,87758,102,97959,FI,1,3,50.0,100.0,2020-09-05 10:37:20,m,21.0
187925,299377785494746216,5381237,2020-09-06 03:00:00,87758,102,97959,FI,0,0,0.0,0.0,2020-09-05 10:37:20,m,21.0
187926,299367785510935144,5383898,2020-09-05 03:00:00,87758,102,97959,FI,1,1,100.0,100.0,2020-09-05 16:59:51,m,27.0
187927,299417785473029773,5383898,2020-09-10 03:00:00,87758,102,97959,FI,0,2,0.0,60.0,2020-09-05 16:59:51,m,27.0
187928,299367785510935175,5385529,2020-09-05 03:00:00,87758,102,97959,NL,1,2,50.0,100.0,2020-09-05 20:32:37,m,38.0
187929,109586477725527983,5386075,2020-12-19 03:00:00,87758,102,97959,NL,0,2,0.0,100.0,2020-09-05 21:15:23,m,27.0
187930,135866568289891636,5386075,2020-12-20 03:00:00,87758,102,97959,NL,0,2,0.0,40.0,2020-09-05 21:15:23,m,27.0
187931,137300309572763552,5386075,2020-10-12 03:00:00,87758,102,97959,NL,0,0,0.0,0.0,2020-09-05 21:15:23,m,27.0
187932,137300664410017833,5386075,2020-10-15 03:00:00,87758,102,97959,NL,0,0,0.0,0.0,2020-09-05 21:15:23,m,27.0
187933,140270471863241350,5386075,2020-10-13 03:00:00,87758,102,97959,NL,0,0,0.0,0.0,2020-09-05 21:15:23,m,27.0
187934,140870283188134113,5386075,2020-10-11 03:00:00,87758,102,97959,NL,0,2,0.0,125.0,2020-09-05 21:15:23,m,27.0
